eye_timestamp,eye1_x_coordinate,eye1_y_coordinate,eye1_pupil_size,eye2_x_coordinate,eye2_y_coordinate,eye2_pupil_size,Trial,L Raw X [px],L Raw Y [px],R Raw X [px],R Raw Y [px],L Dia X [px],L Dia Y [px],L Mapped Diameter [mm],R Dia X [px],R Dia Y [px],R Mapped Diameter [mm],L CR1 X [px],L CR1 Y [px],L CR2 X [px],L CR2 Y [px],R CR1 X [px],R CR1 Y [px],R CR2 X [px],R CR2 Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Timing,L Validity,R Validity,Pupil Confidence,L Plane,R Plane,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Trigger,Frame,Aux1
1,1,2,493.02,60.46,45.31,6.33,1,1382.69,490.6,1146.98,493.02,27.03,27.03,5.8,28.06,28.06,6.33,1381.55,492.54,1388.1,492.61,1149.37,495.28,1155.41,495.26,812.98,561.38,791.19,508.62,0,1,1,2,-1,-1,-9.36,60.46,714.2,45.31,62.66,747.79,0.11,0.01,-0.99,0.2,0.03,-0.98,0,0,0
2,1,2,493.05,60.53,45.39,6.33,1,1382.7,490.28,1146.96,493.05,26.99,26.99,5.8,28.19,28.19,6.33,1381.49,492.44,1388.01,492.44,1149.33,495.14,1155.2,495.04,811.68,555.3,790.49,518.65,0,1,1,2,-1,-1,-9.35,60.53,714.67,45.39,62.77,748.63,0.11,0.02,-0.99,0.2,0.02,-0.98,0,0,0
3,1,2,492.53,60.55,45.35,6.35,1,1382.72,490.19,1147.27,492.53,27.13,27.13,5.8,28.46,28.46,6.35,1381.49,492.39,1388.06,492.22,1149.4,494.6,1155.35,494.66,811.7,555.42,787.31,515,0,1,1,2,-1,-1,-9.35,60.55,714.56,45.35,62.86,748.38,0.11,0.01,-0.99,0.19,0.02,-0.98,0,0,0
4,1,2,491.84,60.74,44.53,6.33,1,1385.19,489.84,1149.71,491.84,26.98,26.98,5.81,27.98,27.98,6.33,1382.67,491.78,1389.16,491.78,1150.6,494.39,1157.07,494.33,668.64,557.39,668.44,499.92,0,1,1,2,-1,-1,-9.62,60.74,715.36,44.53,62.26,740.43,0.05,0.01,-1,0.14,0.04,-0.99,0,0,0
5,1,2,491.61,60.91,44.36,6.31,1,1386.16,489.6,1150.91,491.61,27.19,27.19,5.82,28.01,28.01,6.31,1383.41,491.67,1389.75,491.77,1151.46,494.28,1157.78,494.29,645.07,550.27,637.22,488.01,0,1,1,2,-1,-1,-9.8,60.91,717.2,44.36,62.3,740.75,0.03,0.01,-1,0.12,0.04,-0.99,0,0,0
6,1,2,491.83,60.86,44.16,6.31,1,1386.47,489.87,1151.02,491.83,27.15,27.15,5.82,28.3,28.3,6.31,1383.46,492.25,1389.84,492.12,1151.48,494.41,1157.84,494.38,619.95,538.53,626.09,492.69,0,1,1,2,-1,-1,-9.82,60.86,717.88,44.16,62,737.49,0.02,0.02,-1,0.12,0.04,-0.99,0,0,0
7,1,2,491.97,60.56,43.88,6.3,1,1386.66,489.99,1151.13,491.97,27.24,27.24,5.83,28.35,28.35,6.3,1383.54,492.4,1390.26,492.36,1151.62,494.48,1158.03,494.51,619.17,526.23,624.7,494.86,0,1,1,2,-1,-1,-9.84,60.56,714.84,43.88,61.64,733.47,0.02,0.03,-1,0.12,0.04,-0.99,0,0,0
8,1,2,491.99,60.62,44.07,6.3,1,1386.54,489.9,1151.4,491.99,27.43,27.43,5.84,28.28,28.28,6.3,1383.83,492.38,1390.42,492.4,1151.98,494.61,1158.18,494.53,643.47,514.06,624.6,490.11,0,1,1,2,-1,-1,-9.9,60.62,715.61,44.07,61.98,737.69,0.04,0.03,-1,0.12,0.04,-0.99,0,0,0
9,1,2,491.76,61.14,44.2,6.3,1,1386.93,489.86,1151.56,491.76,27.16,27.16,5.85,28.14,28.14,6.3,1384.29,492.44,1390.45,492.41,1152.25,494.45,1158.31,494.45,634.59,501.46,627.14,481.1,0,1,1,2,-1,-1,-10.04,61.14,721.92,44.2,62.25,740.56,0.03,0.04,-1,0.12,0.05,-0.99,0,0,0
10,1,2,491.81,61.52,44.24,6.3,1,1386.95,489.96,1151.62,491.81,27.59,27.59,5.89,28.32,28.32,6.3,1384.4,492.44,1390.5,492.44,1152.36,494.43,1158.36,494.44,640.06,501.43,628.05,481.59,0,1,1,2,-1,-1,-10.12,61.52,726.37,44.24,62.34,741.63,0.04,0.03,-1,0.12,0.04,-0.99,0,0,0
11,1,2,491.59,61.54,44.19,6.31,1,1387.16,490.29,1151.9,491.59,27.21,27.21,5.9,28.39,28.39,6.31,1384.36,492.54,1390.53,492.5,1152.37,494.43,1158.42,494.46,630.19,517.11,622.85,469.48,0,1,1,2,-1,-1,-10.13,61.54,726.78,44.19,62.28,740.88,0.03,0.02,-1,0.11,0.05,-0.99,0,0,0
12,1,2,491.88,61.43,44.16,6.32,1,1387.23,490.4,1151.77,491.88,26.96,26.96,5.9,28.56,28.56,6.32,1384.34,492.62,1390.61,492.63,1152.36,494.44,1158.44,494.47,627.38,516.84,623.42,479.15,0,1,1,2,-1,-1,-10.12,61.43,725.82,44.16,62.23,740.33,0.03,0.02,-1,0.12,0.04,-0.99,0,0,0
13,1,2,491.78,61.67,44.11,6.32,1,1387.09,490.17,1151.64,491.78,27.47,27.47,5.92,28.3,28.3,6.32,1384.4,492.54,1390.6,492.52,1152.38,494.4,1158.48,494.38,634.14,507.52,627.3,476.78,0,1,1,2,-1,-1,-10.16,61.67,728.44,44.11,62.19,739.65,0.03,0.03,-1,0.12,0.04,-0.99,0,0,0
14,1,2,491.54,61.91,43.97,6.32,1,1387.25,490.22,1151.98,491.54,27.28,27.28,5.93,28.34,28.34,6.32,1384.48,492.46,1390.62,492.47,1152.39,494.36,1158.59,494.31,630.52,510.84,621.01,470.55,0,1,1,2,-1,-1,-10.21,61.91,731.06,43.97,62.03,737.64,0.03,0.02,-1,0.11,0.05,-0.99,0,0,0
15,1,2,491.37,61.79,43.93,6.31,1,1387.3,490,1151.79,491.37,27.49,27.49,5.95,28.38,28.38,6.31,1384.48,492.43,1390.74,492.45,1152.43,494.34,1158.63,494.24,629.06,503.36,624.58,461.57,0,1,1,2,-1,-1,-10.2,61.79,729.61,43.93,62,737.1,0.03,0.03,-1,0.12,0.06,-0.99,0,0,0
16,1,2,491.55,61.77,43.86,6.31,1,1387.41,490.1,1151.92,491.55,27.43,27.43,5.96,28.45,28.45,6.31,1384.48,492.44,1390.78,492.48,1152.43,494.35,1158.67,494.32,625.58,503.92,622.11,466.55,0,1,1,2,-1,-1,-10.21,61.77,729.45,43.86,61.9,736.06,0.02,0.03,-1,0.12,0.05,-0.99,0,0,0
17,1,2,491.75,61.95,43.88,6.3,1,1387.51,489.98,1151.94,491.75,27.26,27.26,5.97,28.26,28.26,6.3,1384.49,492.46,1390.69,492.54,1152.43,494.42,1158.63,494.37,620.77,496.36,620.83,470.96,0,1,1,2,-1,-1,-10.23,61.95,731.62,43.88,61.9,736.22,0.02,0.03,-1,0.11,0.04,-0.99,0,0,0
18,1,2,491.67,62.04,43.94,6.31,1,1387.33,490.33,1151.74,491.67,27.37,27.37,5.98,28.58,28.58,6.31,1384.45,492.51,1390.63,492.56,1152.39,494.42,1158.51,494.42,625.41,506.43,622.98,465.81,0,1,1,2,-1,-1,-10.23,62.04,732.76,43.94,61.95,736.89,0.02,0.02,-1,0.12,0.05,-0.99,0,0,0
19,1,2,492.63,61.58,44.38,6.32,1,1383.93,491.13,1149.35,492.63,26.97,26.97,5.97,28.62,28.62,6.32,1382.5,493.38,1388.94,493.16,1151.24,494.85,1157.18,494.89,790.44,519.09,738.18,484.31,0,1,1,2,-1,-1,-9.77,61.58,729.41,44.38,62.05,739.4,0.1,0.02,-1,0.17,0.02,-0.98,0,0,0
20,1,2,495.2,61.63,45.55,6.28,1,1378.38,493.22,1144.85,495.2,27.22,27.22,5.98,26.94,26.94,6.28,1379.28,494.15,1385.51,494.02,1149.12,495.72,1154.77,495.77,0,0,0,0,0,1,1,2,-1,-1,-9.03,61.63,732.19,45.55,62.73,749.92,0.2,-0.04,-0.98,0.29,-0.05,-0.96,0,0,0
21,1,2,496.75,61.48,45.78,6.23,1,1375.06,495.07,1142.15,496.75,27.15,27.15,5.98,26.62,26.62,6.23,1377.33,494.85,1383.56,494.92,1147.41,496.61,1153.21,496.69,0,0,0,0,0,1,1,2,-1,-1,-8.58,61.48,732.57,45.78,62.29,747.28,0.27,-0.09,-0.96,0.34,-0.08,-0.94,0,0,0
22,1,2,497.55,61.48,46.41,6.2,1,1374.82,495.39,1141.41,497.55,26.65,26.65,5.96,26.53,26.53,6.2,1377.2,495.15,1383.39,495.12,1147.08,497.11,1152.73,497.16,0,0,0,0,0,1,1,2,-1,-1,-8.56,61.48,733.35,46.41,62.9,755.96,0.27,-0.09,-0.96,0.36,-0.1,-0.93,0,0,0
23,1,2,497.28,61.51,46.5,6.19,1,1375.29,495.14,1141.41,497.28,27.3,27.3,5.97,26.98,26.98,6.19,1377.51,494.97,1383.75,494.94,1147.08,496.72,1152.74,496.86,0,0,0,0,0,1,1,2,-1,-1,-8.63,61.51,733.16,46.5,63.11,757.55,0.26,-0.09,-0.96,0.36,-0.1,-0.93,0,0,0
24,1,2,497.49,61.43,46.69,6.18,1,1375.42,494.9,1141.43,497.49,26.79,26.79,5.96,26.69,26.69,6.18,1377.54,494.53,1384.02,494.51,1147.13,496.49,1152.77,496.62,0,0,0,0,0,1,1,2,-1,-1,-8.64,61.43,730.99,46.69,63.43,760.7,0.26,-0.1,-0.96,0.36,-0.12,-0.92,0,0,0
25,1,2,496.51,61.39,46.59,6.18,1,1375.6,494.79,1141.71,496.51,26.4,26.4,5.93,26.92,26.92,6.18,1377.69,494.5,1384.09,494.46,1147.18,496.4,1152.9,496.42,0,0,0,0,0,1,1,2,-1,-1,-8.66,61.39,730.41,46.59,63.37,759.54,0.26,-0.1,-0.96,0.35,-0.08,-0.93,0,0,0
26,1,2,496.66,61.47,46.63,6.19,1,1375.54,494.87,1141.63,496.66,26.54,26.54,5.91,27.18,27.18,6.19,1377.94,494.74,1384.13,494.57,1147.17,496.44,1152.91,496.48,0,0,0,0,0,1,1,2,-1,-1,-8.71,61.47,731.85,46.63,63.41,760.16,0.27,-0.09,-0.96,0.36,-0.09,-0.93,0,0,0
27,1,2,497.28,61.46,46.55,6.17,1,1375.76,495.54,1141.72,497.28,26.74,26.74,5.91,26.73,26.73,6.17,1378.1,495.23,1384.17,495.29,1147.2,496.61,1153.01,496.75,0,0,0,0,0,1,1,2,-1,-1,-8.75,61.46,733.38,46.55,63.27,759.06,0.27,-0.09,-0.96,0.35,-0.11,-0.93,0,0,0
28,1,2,497.8,61.46,46.6,6.15,1,1376.04,496.11,1141.55,497.8,26.9,26.9,5.92,26.38,26.38,6.15,1378.33,495.59,1384.41,495.6,1147.21,497.38,1153.01,497.4,0,0,0,0,0,1,1,2,-1,-1,-8.82,61.46,734.33,46.6,63.17,759.91,0.26,-0.1,-0.96,0.36,-0.1,-0.93,0,0,0
29,1,2,497.19,61.31,46.36,6.16,1,1376.02,496.09,1142.09,497.19,26.72,26.72,5.91,27.27,27.27,6.16,1378.4,495.97,1384.61,495.93,1147.34,497.42,1153.28,497.44,0,0,0,0,0,1,1,2,-1,-1,-8.84,61.31,733.5,46.36,62.89,756.74,0.27,-0.09,-0.96,0.34,-0.07,-0.94,0,0,0
30,1,2,497.59,61.35,46.62,6.15,1,1376.01,496.19,1142.01,497.59,26.93,26.93,5.92,26.6,26.6,6.15,1378.61,495.9,1384.79,495.86,1147.54,497.3,1153.28,497.4,0,0,0,0,0,1,1,2,-1,-1,-8.89,61.35,733.85,46.62,63.3,761.45,0.28,-0.09,-0.96,0.36,-0.09,-0.93,0,0,0
31,1,2,496.82,61.21,46.79,6.15,1,1376.22,496,1142.04,496.82,26.6,26.6,5.91,26.74,26.74,6.15,1378.6,495.52,1385.01,495.49,1147.69,496.95,1153.27,497.05,0,0,0,0,0,1,1,2,-1,-1,-8.88,61.21,731.15,46.79,63.65,764.52,0.28,-0.1,-0.96,0.36,-0.07,-0.93,0,0,0
32,1,2,497.32,61.21,46.77,6.14,1,1376.19,495.4,1142,497.32,26.6,26.6,5.9,26.34,26.34,6.14,1378.6,495.38,1384.99,495.3,1147.58,496.64,1153.27,496.64,0,0,0,0,0,1,1,2,-1,-1,-8.87,61.21,730.61,46.77,63.68,763.94,0.28,-0.08,-0.96,0.36,-0.11,-0.93,0,0,0
33,1,2,496.55,61.44,46.62,6.14,1,1375.99,495.15,1141.83,496.55,26.7,26.7,5.89,26.74,26.74,6.14,1378.52,494.82,1384.75,494.88,1147.29,496.41,1153.22,496.47,0,0,0,0,0,1,1,2,-1,-1,-8.85,61.44,732.06,46.62,63.48,760.86,0.28,-0.09,-0.96,0.36,-0.08,-0.93,0,0,0
34,1,1,0,61.65,0,0,1,1375.98,494.51,0,0,26.08,26.08,5.87,0,0,0,1378.42,494.56,1384.52,494.62,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-8.83,61.65,733.84,0,0,0,0.27,-0.08,-0.96,0,0,0,0,0,0
35,1,1,0,61.69,0,0,1,1375.67,494.94,0,0,26.68,26.68,5.87,0,0,0,1378.15,494.7,1384.27,494.63,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-8.78,61.69,734.56,0,0,0,0.27,-0.09,-0.96,0,0,0,0,0,0
36,1,1,0,61.64,0,0,1,1375.49,495.54,0,0,26.54,26.54,5.87,0,0,0,1378.14,495.25,1384.23,495.25,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-8.79,61.64,735.59,0,0,0,0.28,-0.09,-0.95,0,0,0,0,0,0
37,1,2,497,61.46,46.51,6.16,1,1377.62,495.94,1143.92,497,26.44,26.44,5.87,27.3,27.3,6.16,1379.16,495.73,1385.38,495.63,1148.24,497.28,1154.02,497.3,0,0,0,0,0,1,1,2,-1,-1,-9.03,61.46,734.6,46.51,63.4,762.49,0.23,-0.09,-0.97,0.3,-0.06,-0.95,0,0,0
38,1,1,0,61.33,0,0,1,1379.65,496.41,0,0,26.53,26.53,5.87,0,0,0,1380.43,496.33,1386.63,496.31,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-9.33,61.33,734.84,0,0,0,0.2,-0.09,-0.98,0,0,0,0,0,0
39,1,2,497.35,60.78,45.87,6.18,1,1379.87,496.47,1145.58,497.35,26.51,26.51,5.86,27.52,27.52,6.18,1380.51,496.45,1387.1,496.41,1149.51,497.54,1155.59,497.59,0,0,0,0,0,1,1,2,-1,-1,-9.31,60.78,728.58,45.87,62.94,757.68,0.2,-0.08,-0.98,0.28,-0.07,-0.96,0,0,0
40,1,2,496.86,60.95,45.71,6.2,1,1379.99,496.04,1146.04,496.86,26.75,26.75,5.86,27.46,27.46,6.2,1380.79,496.16,1387.23,496.27,1149.73,497.31,1155.78,497.38,0,0,0,0,0,1,1,2,-1,-1,-9.38,60.95,729.92,45.71,62.83,755.72,0.2,-0.07,-0.98,0.27,-0.06,-0.96,0,0,0
41,1,2,496.24,60.9,45.8,6.21,1,1380.05,495.36,1145.63,496.24,26.21,26.21,5.84,27.48,27.48,6.21,1380.75,495.56,1387.27,495.48,1149.74,496.72,1155.65,496.74,0,0,0,0,0,1,1,2,-1,-1,-9.34,60.9,727.45,45.8,63.09,757.08,0.2,-0.07,-0.98,0.29,-0.06,-0.96,0,0,0
42,1,2,496.24,60.56,45.5,6.22,1,1379.99,494.92,1145.68,496.24,26,26,5.81,27.55,27.55,6.22,1380.55,495.43,1387.17,495.38,1149.42,496.45,1155.56,496.47,0,0,0,0,0,1,1,2,-1,-1,-9.25,60.56,723.1,45.5,62.67,751.25,0.19,-0.06,-0.98,0.27,-0.07,-0.96,0,0,0
43,1,2,496.47,61.04,45.93,6.22,1,1379.55,495.34,1145.31,496.47,26.67,26.67,5.81,27.43,27.43,6.22,1380.45,495.39,1386.77,495.29,1149.33,496.43,1155.11,496.47,0,0,0,0,0,1,1,2,-1,-1,-9.27,61.04,728.57,45.93,63.18,757.3,0.2,-0.08,-0.98,0.28,-0.08,-0.96,0,0,0
44,1,2,496.44,61.32,46.05,6.23,1,1379.64,495.29,1145.25,496.44,26.25,26.25,5.81,27.31,27.31,6.23,1380.34,495.42,1386.46,495.43,1149.19,496.5,1154.9,496.53,0,0,0,0,0,1,1,2,-1,-1,-9.26,61.32,732.15,46.05,63.27,758.59,0.19,-0.08,-0.98,0.28,-0.08,-0.96,0,0,0
45,1,2,496.36,61.35,46.14,6.22,1,1379.74,494.99,1144.87,496.36,26.22,26.22,5.8,27.04,27.04,6.22,1380.35,495.44,1386.48,495.44,1149.12,496.54,1154.8,496.57,0,0,0,0,0,1,1,2,-1,-1,-9.27,61.35,732.6,46.14,63.35,759.74,0.19,-0.06,-0.98,0.29,-0.07,-0.95,0,0,0
46,1,2,496.66,61,46.01,6.22,1,1379.59,495.62,1145.01,496.66,26.86,26.86,5.82,27.25,27.25,6.22,1380.49,495.49,1386.83,495.55,1149.25,496.61,1155.04,496.72,0,0,0,0,0,1,1,2,-1,-1,-9.28,61,728.6,46.01,63.2,758.23,0.2,-0.09,-0.98,0.29,-0.08,-0.95,0,0,0
47,1,2,496.91,60.69,45.76,6.21,1,1380.06,495.58,1145.15,496.91,26.67,26.67,5.82,27.03,27.03,6.21,1380.61,495.63,1387.1,495.61,1149.44,497.06,1155.38,497.08,0,0,0,0,0,1,1,2,-1,-1,-9.28,60.69,725.25,45.76,62.86,755.25,0.19,-0.08,-0.98,0.3,-0.07,-0.95,0,0,0
48,1,2,496.89,60.86,45.48,6.21,1,1380.14,495.53,1145.48,496.89,26.44,26.44,5.81,27.35,27.35,6.21,1380.84,495.91,1387.18,495.77,1149.45,497.33,1155.56,497.32,0,0,0,0,0,1,1,2,-1,-1,-9.35,60.86,727.86,45.48,62.44,750.93,0.19,-0.07,-0.98,0.28,-0.06,-0.96,0,0,0
49,1,2,497.07,60.64,45.52,6.2,1,1380.13,495.48,1145.34,497.07,26.48,26.48,5.81,27.17,27.17,6.2,1380.74,495.7,1387.22,495.58,1149.47,497.1,1155.49,497.12,0,0,0,0,0,1,1,2,-1,-1,-9.3,60.64,724.69,45.52,62.54,751.61,0.19,-0.07,-0.98,0.29,-0.08,-0.95,0,0,0
50,1,2,496.29,60.48,45.62,6.23,1,1380.09,495.1,1145.79,496.29,26.32,26.32,5.79,28.21,28.21,6.23,1380.55,495.44,1387.11,495.4,1149.37,496.52,1155.3,496.56,0,0,0,0,0,1,1,2,-1,-1,-9.24,60.48,722.2,45.62,62.76,752.6,0.19,-0.07,-0.98,0.26,-0.07,-0.96,0,0,0
51,1,2,496.48,60.77,46,6.24,1,1379.84,494.81,1145.05,496.48,26.55,26.55,5.79,27.44,27.44,6.24,1380.46,495.39,1386.79,495.18,1149.18,496.43,1154.85,496.48,0,0,0,0,0,1,1,2,-1,-1,-9.23,60.77,725.19,46,63.2,757.6,0.19,-0.06,-0.98,0.28,-0.08,-0.96,0,0,0
52,1,1,0,61.18,0,0,1,1379.29,495.34,0,0,26.89,26.89,5.81,0,0,0,1380.41,495.43,1386.47,495.39,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-9.25,61.18,730.52,0,0,0,0.21,-0.08,-0.97,0,0,0,0,0,0
53,1,2,497.16,60.9,45.91,6.22,1,1379.69,495.81,1144.72,497.16,26.25,26.25,5.8,26.87,26.87,6.22,1380.38,495.64,1386.62,495.67,1148.94,497.14,1154.74,497.21,0,0,0,0,0,1,1,2,-1,-1,-9.23,60.9,727.81,45.91,62.85,755.47,0.19,-0.09,-0.98,0.29,-0.08,-0.95,0,0,0
54,1,2,496.65,60.56,44.98,6.22,1,1382.2,495.61,1147.76,496.65,26.3,26.3,5.79,27.59,27.59,6.22,1381.63,496.09,1388.05,495.96,1150.5,497.32,1156.73,497.36,0,0,0,0,0,1,1,2,-1,-1,-9.5,60.56,724.78,44.98,62.11,747.03,0.14,-0.06,-0.99,0.23,-0.05,-0.97,0,0,0
55,1,2,496.89,60.72,44.78,6.23,1,1384.44,495.67,1149.82,496.89,26.07,26.07,5.77,27.8,27.8,6.23,1383.08,495.84,1389.43,495.66,1152.08,497.12,1158.11,497.12,0,0,0,0,0,1,1,2,-1,-1,-9.84,60.72,725.93,44.78,62.37,749.57,0.1,-0.08,-0.99,0.2,-0.07,-0.98,0,0,0
56,1,2,496.67,61.03,44.82,6.23,1,1384.48,495.58,1149.72,496.67,26.33,26.33,5.77,27.65,27.65,6.23,1383.3,495.58,1389.49,495.5,1152.09,496.69,1158.08,496.79,0,0,0,0,0,1,1,2,-1,-1,-9.92,61.03,729.12,44.82,62.51,750.16,0.1,-0.08,-0.99,0.2,-0.08,-0.98,0,0,0
57,1,2,496.43,61.19,44.75,6.24,1,1384.56,495.4,1149.98,496.43,26.11,26.11,5.77,27.72,27.72,6.24,1383.35,495.5,1389.49,495.46,1152.01,496.58,1158.05,496.61,0,0,0,0,0,1,1,2,-1,-1,-9.95,61.19,730.87,44.75,62.43,748.76,0.1,-0.08,-0.99,0.19,-0.07,-0.98,0,0,0
58,1,2,496.31,60.89,44.45,6.21,1,1384.18,495.5,1149.3,496.31,26.59,26.59,5.78,27.31,27.31,6.21,1383,495.46,1389.43,495.44,1151.52,496.46,1157.83,496.54,0,0,0,0,0,1,1,2,-1,-1,-9.85,60.89,727.2,44.45,61.92,742.35,0.11,-0.08,-0.99,0.2,-0.07,-0.98,0,0,0
59,1,2,496.16,60.53,44.43,6.21,1,1383.97,495.39,1149.46,496.16,26.8,26.8,5.79,27.68,27.68,6.21,1382.74,495.38,1389.39,495.43,1151.46,496.44,1157.7,496.46,0,0,0,0,0,1,1,2,-1,-1,-9.75,60.53,722.73,44.43,61.88,741.74,0.11,-0.08,-0.99,0.19,-0.07,-0.98,0,0,0
60,1,2,496.07,60.27,44.42,6.22,1,1384.08,495.31,1149.57,496.07,26.38,26.38,5.77,28.04,28.04,6.22,1382.7,495.38,1389.4,495.43,1151.46,496.43,1157.65,496.45,0,0,0,0,0,1,1,2,-1,-1,-9.71,60.27,719.65,44.42,61.85,741.42,0.1,-0.08,-0.99,0.18,-0.06,-0.98,0,0,0
61,1,2,496.12,60.79,44.21,6.21,1,1384.07,495.39,1149.46,496.12,27.03,27.03,5.8,27.67,27.67,6.21,1383.12,495.51,1389.42,495.45,1151.53,496.48,1157.81,496.51,0,0,0,0,0,1,1,2,-1,-1,-9.85,60.79,726.08,44.21,61.58,738.36,0.12,-0.08,-0.99,0.19,-0.06,-0.98,0,0,0
62,1,2,496.56,60.86,44.23,6.21,1,1384.45,495.4,1149.57,496.56,26.23,26.23,5.79,27.95,27.95,6.21,1383.33,495.64,1389.58,495.63,1151.86,496.78,1158.01,496.84,0,0,0,0,0,1,1,2,-1,-1,-9.91,60.86,727.31,44.23,61.63,739.75,0.11,-0.07,-0.99,0.2,-0.07,-0.98,0,0,0
63,1,2,496.65,60.65,44.39,6.18,1,1384.85,495.94,1149.28,496.65,26.16,26.16,5.77,27.04,27.04,6.18,1383.49,496.26,1389.83,496.1,1152.06,497.15,1158.02,497.09,0,0,0,0,0,1,1,2,-1,-1,-9.94,60.65,726.25,44.39,61.82,742.9,0.1,-0.07,-0.99,0.22,-0.06,-0.97,0,0,0
64,1,2,496.8,60.27,44.45,6.16,1,1384.93,496.24,1149.65,496.8,26.65,26.65,5.78,26.98,26.98,6.16,1383.5,496.36,1390.06,496.19,1152.17,497.24,1158.09,497.17,0,0,0,0,0,1,1,2,-1,-1,-9.91,60.27,722.04,44.45,61.9,744.2,0.1,-0.08,-0.99,0.21,-0.06,-0.98,0,0,0
65,1,2,496.67,60.47,44.4,6.14,1,1384.89,495.97,1149.27,496.67,26.49,26.49,5.77,27.02,27.02,6.14,1383.5,496.16,1389.92,496.05,1151.98,497.01,1158,497.01,0,0,0,0,0,1,1,2,-1,-1,-9.92,60.47,723.9,44.4,61.83,742.74,0.1,-0.08,-0.99,0.22,-0.06,-0.97,0,0,0
66,1,2,496.52,60.69,44.17,6.14,1,1384.52,495.67,1149.45,496.52,26.58,26.58,5.78,27.56,27.56,6.14,1383.36,495.68,1389.7,495.71,1151.7,496.68,1157.97,496.75,0,0,0,0,0,1,1,2,-1,-1,-9.9,60.69,725.48,44.17,61.53,738.3,0.11,-0.08,-0.99,0.2,-0.07,-0.98,0,0,0
67,1,2,496.36,61.02,44.24,6.14,1,1384.34,495.62,1149.23,496.36,26.89,26.89,5.8,27.63,27.63,6.14,1383.32,495.52,1389.47,495.47,1151.46,496.46,1157.66,496.49,0,0,0,0,0,1,1,2,-1,-1,-9.91,61.02,728.78,44.24,61.6,738.46,0.11,-0.09,-0.99,0.2,-0.08,-0.98,0,0,0
68,1,2,496.16,60.97,44.21,6.14,1,1384.47,495.14,1149.26,496.16,26.33,26.33,5.79,27.62,27.62,6.14,1383.24,495.34,1389.47,495.41,1151.46,496.35,1157.65,496.33,0,0,0,0,0,1,1,2,-1,-1,-9.89,60.97,727.88,44.21,61.59,737.98,0.1,-0.07,-0.99,0.2,-0.07,-0.98,0,0,0
69,1,2,495.77,60.88,44.1,6.16,1,1384.61,494.83,1149.65,495.77,26.64,26.64,5.8,28.04,28.04,6.16,1383.23,495.04,1389.61,494.96,1151.56,495.88,1157.81,495.89,0,0,0,0,0,1,1,2,-1,-1,-9.88,60.88,725.78,44.1,61.58,736.64,0.1,-0.08,-0.99,0.18,-0.08,-0.98,0,0,0
70,1,2,496,60.93,43.98,6.15,1,1384.61,495.06,1149.65,496,26.56,26.56,5.8,27.66,27.66,6.15,1383.4,494.99,1389.75,494.94,1151.74,495.93,1158.04,495.97,0,0,0,0,0,1,1,2,-1,-1,-9.92,60.93,726.31,43.98,61.47,735.44,0.11,-0.09,-0.99,0.19,-0.08,-0.98,0,0,0
71,1,2,495.97,60.77,43.99,6.14,1,1384.79,495.07,1149.48,495.97,26.69,26.69,5.8,27.52,27.52,6.14,1383.5,495.45,1389.9,495.32,1151.79,496.3,1158.01,496.3,0,0,0,0,0,1,1,2,-1,-1,-9.94,60.77,725.54,43.99,61.4,735.65,0.1,-0.07,-0.99,0.2,-0.07,-0.98,0,0,0
72,1,2,496.33,60.5,44.06,6.17,1,1384.69,495.72,1149.91,496.33,26.68,26.68,5.8,28.23,28.23,6.17,1383.53,495.51,1390.09,495.59,1152,496.65,1158.07,496.67,0,0,0,0,0,1,1,2,-1,-1,-9.93,60.5,722.79,44.06,61.45,737.26,0.11,-0.09,-0.99,0.19,-0.07,-0.98,0,0,0
73,1,2,494.54,60.79,43.69,6.17,1,1386.17,494.32,1150.91,494.54,26.98,26.98,5.82,27.88,27.88,6.17,1384.16,495.19,1390.48,495.24,1152.75,496.03,1159.05,496.02,0,0,739.58,600.82,0,1,1,2,-1,-1,-10.08,60.79,725.25,43.69,61.37,734.44,0.07,-0.04,-1,0.18,-0.01,-0.98,0,0,0
74,1,2,492.49,61.16,43.69,6.17,1,1386.23,491.7,1152.09,492.49,27.09,27.09,5.84,27.96,27.96,6.17,1384.18,493.75,1390.51,493.64,1153.44,494.52,1159.53,494.58,715.11,533.83,685.74,525.97,0,1,1,2,-1,-1,-10.09,61.16,725.5,43.69,61.91,736.79,0.07,0.01,-1,0.15,0.01,-0.99,0,0,0
75,1,2,491.87,61.45,43.71,6.2,1,1386.17,490.89,1152.08,491.87,27.04,27.04,5.85,28.39,28.39,6.2,1384.31,493.47,1390.46,493.43,1153.4,494.39,1159.51,494.34,717.96,499.91,689.98,478.72,0,1,1,2,-1,-1,-10.13,61.45,728.25,43.71,61.98,737.08,0.07,0.04,-1,0.15,0.04,-0.99,0,0,0
