onset	duration	sample	value	description
0.0000000000	1.0000000000	0	9999	n/a
1.0700000000	1.0000000000	535	81  	n/a
118.4660000000	1.0000000000	59233	101 	n/a
118.9980000000	125515.0000000000	59499	break cnt	n/a
