onset		duration	sample	value	description
0.0000000000	n/a		0	n/a	n/a
0.0066666667	n/a		1	n/a	n/a
0.0133333333	8.0000000000	2	0	n/a
0.0666666667	226.0000000000	10		93	n/a
1.5733333333	46.0000000000	236		4	n/a
1.8800000000	348.0000000000	282		8	n/a
4.2000000000	76.0000000000	630		4	n/a
4.7066666667	433.0000000000	706		8	n/a
7.5933333333	76.0000000000	1139	4	n/a
8.1000000000	434.0000000000	1215	8	n/a
10.9933333333	76.0000000000	1649	4	n/a
11.5000000000	413.0000000000	1725	8	n/a
14.2533333333	76.0000000000	2138	4	n/a
14.7600000000	360.0000000000	2214	8	n/a
17.1600000000	57.0000000000	2574	4	n/a
17.5400000000	353.0000000000	2631	8	n/a
19.8933333333	76.0000000000	2984	4	n/a
20.4000000000	353.0000000000	3060	8	n/a
22.7533333333	76.0000000000	3413	4	n/a
23.2600000000	434.0000000000	3489	8	n/a
26.1533333333	77.0000000000	3923	4	n/a
26.6666666667	433.0000000000	4000	8	n/a
29.5533333333	77.0000000000	4433	4	n/a
30.0666666667	375.0000000000	4510	8	n/a
32.5666666667	76.0000000000	4885	4	n/a
33.0733333333	434.0000000000	4961	8	n/a
35.9666666667	77.0000000000	5395	4	n/a
36.4800000000	405.0000000000	5472	8	n/a
39.1800000000	63.0000000000	5877	4	n/a
39.6000000000	392.0000000000	5940	8	n/a
42.2133333333	77.0000000000	6332	4	n/a
42.7266666667	406.0000000000	6409	8	n/a
45.4333333333	50.0000000000	6815	4	n/a
45.7666666667	375.0000000000	6865	8	n/a
48.2666666667	75.0000000000	7240	4	n/a
48.7666666667	339.0000000000	7315	8	n/a
51.0266666667	76.0000000000	7654	4	n/a
51.5333333333	430.0000000000	7730	8	n/a
54.4000000000	46.0000000000	8160	4	n/a
54.7066666667	418.0000000000	8206	8	n/a
57.4933333333	77.0000000000	8624	4	n/a
58.0066666667	431.0000000000	8701	8	n/a
60.8800000000	44.0000000000	9132	4	n/a
61.1733333333	330.0000000000	9176	8	n/a
63.3733333333	62.0000000000	9506	4	n/a
63.7866666667	400.0000000000	9568	8	n/a
66.4533333333	57.0000000000	9968	4	n/a
66.8333333333	417.0000000000	10025	8	n/a
