## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7343                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2882507876	SMP	1	1387.25	490.22	1151.98	491.54	27.28	27.28	5.93	28.34	28.34	6.32	1384.48	492.46	1390.62	492.47	1152.39	494.36	1158.59	494.31	630.52	510.84	621.01	470.55	0	1	1	2	-1	-1	-10.21	61.91	731.06	43.97	62.03	737.64	0.03	0.02	-1.00	0.11	0.05	-0.99	0		
2882524527	SMP	1	1387.30	490.00	1151.79	491.37	27.49	27.49	5.95	28.38	28.38	6.31	1384.48	492.43	1390.74	492.45	1152.43	494.34	1158.63	494.24	629.06	503.36	624.58	461.57	0	1	1	2	-1	-1	-10.20	61.79	729.61	43.93	62.00	737.10	0.03	0.03	-1.00	0.12	0.06	-0.99	0		
2882541195	SMP	1	1387.41	490.10	1151.92	491.55	27.43	27.43	5.96	28.45	28.45	6.31	1384.48	492.44	1390.78	492.48	1152.43	494.35	1158.67	494.32	625.58	503.92	622.11	466.55	0	1	1	2	-1	-1	-10.21	61.77	729.45	43.86	61.90	736.06	0.02	0.03	-1.00	0.12	0.05	-0.99	0		
2882557859	SMP	1	1387.51	489.98	1151.94	491.75	27.26	27.26	5.97	28.26	28.26	6.30	1384.49	492.46	1390.69	492.54	1152.43	494.42	1158.63	494.37	620.77	496.36	620.83	470.96	0	1	1	2	-1	-1	-10.23	61.95	731.62	43.88	61.90	736.22	0.02	0.03	-1.00	0.11	0.04	-0.99	0		
2882574514	SMP	1	1387.33	490.33	1151.74	491.67	27.37	27.37	5.98	28.58	28.58	6.31	1384.45	492.51	1390.63	492.56	1152.39	494.42	1158.51	494.42	625.41	506.43	622.98	465.81	0	1	1	2	-1	-1	-10.23	62.04	732.76	43.94	61.95	736.89	0.02	0.02	-1.00	0.12	0.05	-0.99	0		
2882591192	SMP	1	1383.93	491.13	1149.35	492.63	26.97	26.97	5.97	28.62	28.62	6.32	1382.50	493.38	1388.94	493.16	1151.24	494.85	1157.18	494.89	790.44	519.09	738.18	484.31	0	1	1	2	-1	-1	-9.77	61.58	729.41	44.38	62.05	739.40	0.10	0.02	-1.00	0.17	0.02	-0.98	0		
2882607839	SMP	1	1378.38	493.22	1144.85	495.20	27.22	27.22	5.98	26.94	26.94	6.28	1379.28	494.15	1385.51	494.02	1149.12	495.72	1154.77	495.77	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.03	61.63	732.19	45.55	62.73	749.92	0.20	-0.04	-0.98	0.29	-0.05	-0.96	0		
2882624506	SMP	1	1375.06	495.07	1142.15	496.75	27.15	27.15	5.98	26.62	26.62	6.23	1377.33	494.85	1383.56	494.92	1147.41	496.61	1153.21	496.69	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.58	61.48	732.57	45.78	62.29	747.28	0.27	-0.09	-0.96	0.34	-0.08	-0.94	0		
2882641176	SMP	1	1374.82	495.39	1141.41	497.55	26.65	26.65	5.96	26.53	26.53	6.20	1377.20	495.15	1383.39	495.12	1147.08	497.11	1152.73	497.16	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.56	61.48	733.35	46.41	62.90	755.96	0.27	-0.09	-0.96	0.36	-0.10	-0.93	0		
2882657845	SMP	1	1375.29	495.14	1141.41	497.28	27.30	27.30	5.97	26.98	26.98	6.19	1377.51	494.97	1383.75	494.94	1147.08	496.72	1152.74	496.86	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.63	61.51	733.16	46.50	63.11	757.55	0.26	-0.09	-0.96	0.36	-0.10	-0.93	0		
